gk_player_id,gk_name,gk_team,league,matches,xGA_pm,goals_conc_pm,saves_pm,save_pct,goals_prevented_pm,clean_sheet_pct,home_matches,home_save_pct,home_gp_pm,away_matches,away_save_pct,away_gp_pm,vs_hard_matches,vs_hard_save_pct,vs_hard_gp_pm,vs_easy_matches,vs_easy_save_pct,vs_easy_gp_pm,win_save_pct,draw_save_pct,loss_save_pct,ha_save_delta,adversity_index,consistency_cv,best_zone,zone_gp_six_yard,zone_gp_pen_area,zone_gp_outside_box,clinical_per_sot,loss_resilience
780,Karl Darlow,Leeds,EPL,19,1.2883,1.1053,2.6316,66.7,0.1831,21.1,10,65.7,0.1094,9,67.5,0.2649,5,66.7,0.811,5,66.7,-0.1934,83.3,60.7,56.5,-1.8,1.004,4.516,six_yard,3.008,1.249,-0.777,0.0464,56.5
973,Paulo Gazzaniga,Girona,La_Liga,31,1.7897,1.3871,3.4194,66.7,0.4026,19.4,16,60.0,0.4531,15,72.6,0.3488,8,55.4,0.6584,8,68.0,0.0477,79.4,77.8,52.1,-12.6,0.611,2.418,pen_area,4.862,9.791,-2.168,0.0785,52.1
978,Sam Johnstone,Wolverhampton Wanderers,EPL,12,1.7988,1.6667,3.25,61.9,0.1321,0.0,5,60.7,-0.2648,7,62.9,0.4156,3,54.2,0.4153,3,55.6,-0.0103,,77.8,59.3,-2.2,0.426,5.691,six_yard,2.292,1.659,-2.37,0.0252,59.3
1116,Gianluigi Donnarumma,Manchester City,EPL,31,1.269,0.9032,2.2581,65.4,0.3657,41.9,15,68.9,0.5776,16,62.9,0.1671,8,55.3,0.6638,8,65.0,-0.0383,70.7,61.3,55.6,6.0,0.702,2.762,pen_area,5.637,9.773,-4.081,0.106,55.6
1257,Alisson,Liverpool,EPL,25,1.1852,1.2,2.12,60.2,-0.0148,32.0,13,63.3,-0.1416,12,56.4,0.1227,7,51.5,0.3759,6,57.1,0.003,60.0,64.3,56.7,6.9,0.373,59.135,pen_area,0.337,0.515,-1.217,-0.0042,56.7
1302,Emil Audero,Cremonese,Serie_A,31,1.7935,1.4516,3.871,69.4,0.3419,29.0,15,66.7,0.0978,16,71.3,0.5708,8,62.1,0.543,8,69.2,-0.2811,77.3,93.3,62.0,-4.6,0.824,2.962,pen_area,4.895,6.857,-1.154,0.0613,62.0
1305,Lukasz Skorupski,Bologna,Serie_A,17,0.9903,0.8824,1.9412,58.9,0.1079,41.2,8,72.2,0.1361,9,52.6,0.0829,5,48.1,0.5742,4,50.0,-0.2952,78.9,57.1,43.5,19.6,0.869,8.329,pen_area,1.301,2.856,-2.324,0.0328,43.5
1544,Federico Ravaglia,Bologna,Serie_A,16,1.8877,1.5625,3.125,64.1,0.3252,12.5,8,55.6,0.0357,8,71.4,0.6146,4,57.1,0.3508,4,76.2,0.025,84.6,77.8,53.2,-15.8,0.326,2.252,pen_area,0.528,4.904,-0.231,0.0667,53.2
1830,Ionut Radu,Celta Vigo,La_Liga,34,1.4515,1.2647,2.7941,65.1,0.1868,23.5,17,58.0,-0.024,17,71.4,0.3976,9,65.0,0.6103,9,75.0,0.0252,76.0,77.3,44.2,-13.4,0.585,5.377,pen_area,1.232,5.71,-0.592,0.0435,44.2
1873,Nicola Leali,Genoa,Serie_A,20,1.6041,1.25,2.9,66.7,0.3541,20.0,11,63.2,0.4469,9,69.4,0.2407,5,64.7,0.7026,5,88.9,0.4792,78.9,64.0,62.8,-6.2,0.223,2.095,six_yard,4.773,0.659,1.653,0.0814,62.8
