match_id,gk_player_id,gk_name,gk_team,shots_faced,shots_on_target,goals_conceded,saves,save_pct,xGA,npxGA,goals_prevented,np_goals_prevented,penalties_faced,penalties_conceded,penalties_saved,clean_sheet,shots_six_yard,xG_six_yard,goals_six_yard,shots_pen_area,xG_pen_area,goals_pen_area,shots_outside_box,xG_outside_box,goals_outside_box,shots_open_play,xG_open_play,goals_open_play,shots_set_piece,xG_set_piece,goals_set_piece,shots_foot,xG_foot,shots_head,xG_head,gk_home_away,gk_goals_for,gk_goals_against,match_result,h_team,a_team,date,league
26939,7047,Mark Flekken,Brentford,14,5,0,5,100.0,0.673,0.673,0.673,0.673,0,0,0,1,2,0.18,0,9,0.439,0,3,0.054,0,8,0.368,0,6,0.305,0,9,0.445,5,0.228,away,2,0,W,Nottingham Forest,Brentford,2025-05-01 18:30:00,EPL
26940,181,Bernd Leno,Fulham,7,3,1,2,66.66666666666666,0.936,0.936,-0.064,-0.064,0,0,0,0,0,0.0,0,6,0.916,1,1,0.019,0,6,0.508,0,1,0.427,1,6,0.508,1,0.427,away,2,1,W,Southampton,Fulham,2025-04-26 14:00:00,EPL
26940,5603,Aaron Ramsdale,Southampton,26,6,2,3,50.0,1.996,1.996,-0.004,-0.004,0,0,0,0,4,0.365,0,14,1.324,2,8,0.307,0,14,1.172,2,12,0.824,0,15,0.783,11,1.212,home,1,2,L,Southampton,Fulham,2025-04-26 14:00:00,EPL
26941,9740,José Sá,Wolverhampton Wanderers,8,2,0,2,100.0,1.051,0.29,1.051,0.29,1,0,1,1,0,0.0,0,4,0.924,0,4,0.127,0,6,0.191,0,1,0.099,0,6,0.933,2,0.118,home,3,0,W,Wolverhampton Wanderers,Leicester,2025-04-26 14:00:00,EPL
26941,12910,Mads Hermansen,Leicester,20,5,3,2,40.0,2.577,2.577,-0.423,-0.423,0,0,0,0,2,1.331,1,11,0.971,2,7,0.275,0,18,2.409,3,2,0.168,0,19,2.504,1,0.073,away,0,3,L,Wolverhampton Wanderers,Leicester,2025-04-26 14:00:00,EPL
26942,6054,Ederson,Manchester City,6,2,0,0,0.0,0.674,0.674,0.674,0.674,0,0,0,1,0,0.0,0,4,0.581,0,2,0.093,0,6,0.674,0,0,0.0,0,6,0.674,0,0.0,home,1,0,W,Manchester City,Wolverhampton Wanderers,2025-05-02 19:00:00,EPL
26942,9740,José Sá,Wolverhampton Wanderers,9,2,1,1,50.0,0.859,0.859,-0.141,-0.141,0,0,0,0,0,0.0,0,5,0.765,1,4,0.094,0,6,0.775,1,3,0.084,0,8,0.841,1,0.019,away,0,1,L,Manchester City,Wolverhampton Wanderers,2025-05-02 19:00:00,EPL
26943,2310,Alphonse Areola,West Ham,7,2,1,1,50.0,0.847,0.847,-0.153,-0.153,0,0,0,0,0,0.0,0,4,0.769,1,3,0.078,0,5,0.781,1,2,0.066,0,7,0.847,0,0.0,home,1,1,D,West Ham,Tottenham,2025-05-04 13:00:00,EPL
26943,8858,Guglielmo Vicario,Tottenham,11,2,1,1,50.0,1.152,1.152,0.152,0.152,0,0,0,0,2,0.91,1,4,0.131,0,5,0.11,0,8,0.585,1,3,0.567,0,8,0.585,3,0.567,away,1,1,D,West Ham,Tottenham,2025-05-04 13:00:00,EPL
26944,5552,Nick Pope,Newcastle United,5,2,1,1,50.0,0.688,0.688,-0.312,-0.312,0,0,0,0,0,0.0,0,4,0.672,1,1,0.016,0,4,0.323,1,1,0.365,0,4,0.323,1,0.365,away,1,1,D,Brighton,Newcastle United,2025-05-04 13:00:00,EPL
26944,11711,Bart Verbruggen,Brighton,13,5,1,4,80.0,1.644,0.883,0.644,0.883,1,1,0,0,1,0.092,0,6,1.174,1,6,0.379,0,9,0.573,0,3,0.309,0,13,1.644,0,0.0,home,1,1,D,Brighton,Newcastle United,2025-05-04 13:00:00,EPL
26945,5061,Kepa,Bournemouth,13,4,1,3,75.0,2.055,2.055,1.055,1.055,0,0,0,0,0,0.0,0,12,1.984,1,1,0.071,0,12,1.984,1,1,0.071,0,10,1.267,3,0.788,away,2,1,W,Arsenal,Bournemouth,2025-05-03 16:30:00,EPL
26945,9676,David Raya,Arsenal,9,2,2,0,0.0,1.447,1.447,-0.553,-0.553,0,0,0,0,2,0.825,2,4,0.521,0,3,0.1,0,6,0.843,1,3,0.604,1,4,0.16,4,0.775,home,1,2,L,Arsenal,Bournemouth,2025-05-03 16:30:00,EPL
26946,181,Bernd Leno,Fulham,10,4,1,2,50.0,1.29,1.29,0.29,0.29,0,0,0,0,1,0.566,0,6,0.628,1,3,0.096,0,7,0.924,0,3,0.366,1,8,0.961,2,0.329,away,0,1,L,Aston Villa,Fulham,2025-05-03 11:30:00,EPL
26946,4401,Emiliano Martinez,Aston Villa,11,3,0,3,100.0,0.703,0.703,0.703,0.703,0,0,0,1,1,0.071,0,7,0.393,0,3,0.239,0,11,0.703,0,0,0.0,0,8,0.569,3,0.133,home,1,0,W,Aston Villa,Fulham,2025-05-03 11:30:00,EPL
26947,7047,Mark Flekken,Brentford,15,5,3,2,40.0,1.147,1.147,-1.853,-1.853,0,0,0,0,0,0.0,0,9,0.993,2,6,0.154,1,14,1.119,3,1,0.028,0,14,1.147,0,0.0,home,4,3,W,Brentford,Manchester United,2025-05-04 13:00:00,EPL
26947,12054,Altay Bayindir,Manchester United,12,6,3,3,50.0,3.65,3.65,0.65,0.65,0,0,0,0,4,2.191,2,7,1.401,1,1,0.059,0,9,2.583,3,3,1.067,0,8,2.002,4,1.648,away,3,4,L,Brentford,Manchester United,2025-05-04 13:00:00,EPL
26948,1257,Alisson,Liverpool,17,7,2,4,57.14285714285714,3.519,2.758,1.519,1.758,1,1,0,0,1,0.769,0,13,2.587,2,3,0.163,0,15,2.692,1,1,0.067,0,16,3.443,1,0.077,away,1,3,L,Chelsea,Liverpool,2025-05-04 15:30:00,EPL
26948,9098,Robert Sánchez,Chelsea,12,2,1,1,50.0,1.427,1.427,0.427,0.427,0,0,0,0,0,0.0,0,9,1.34,1,3,0.087,0,7,0.817,0,5,0.61,1,5,0.243,6,1.184,home,3,1,W,Chelsea,Liverpool,2025-05-04 15:30:00,EPL
26949,6903,Matz Sels,Nottingham Forest,20,4,1,2,50.0,2.358,1.597,1.358,1.597,1,1,0,0,4,0.497,0,10,1.709,1,6,0.153,0,11,0.97,0,8,0.627,0,15,1.862,4,0.226,away,1,1,D,Crystal Palace,Nottingham Forest,2025-05-05 19:00:00,EPL
26949,7702,Dean Henderson,Crystal Palace,12,4,1,3,75.0,0.637,0.637,-0.363,-0.363,0,0,0,0,1,0.028,0,6,0.484,1,5,0.126,0,8,0.445,0,4,0.193,1,12,0.637,0,0.0,home,1,1,D,Crystal Palace,Nottingham Forest,2025-05-05 19:00:00,EPL
26950,741,Jordan Pickford,Everton,12,5,2,3,60.0,1.144,1.144,-0.856,-0.856,0,0,0,0,1,0.607,1,5,0.4,0,6,0.136,1,10,1.081,2,2,0.063,0,10,0.491,2,0.653,home,2,2,D,Everton,Ipswich,2025-05-03 14:00:00,EPL
26950,1038,Alex Palmer,Ipswich,8,3,2,1,33.33333333333333,0.808,0.808,-1.192,-1.192,0,0,0,0,1,0.268,0,5,0.48,1,2,0.061,1,5,0.478,2,3,0.33,0,4,0.154,4,0.654,away,2,2,D,Everton,Ipswich,2025-05-03 14:00:00,EPL
26951,5603,Aaron Ramsdale,Southampton,14,4,2,2,50.0,1.61,1.61,-0.39,-0.39,0,0,0,0,1,0.357,0,8,0.887,1,5,0.366,1,8,0.986,1,6,0.624,1,13,1.253,1,0.357,away,0,2,L,Leicester,Southampton,2025-05-03 14:00:00,EPL
26951,13301,Jakub Stolarczyk,Leicester,8,2,0,2,100.0,0.551,0.551,0.551,0.551,0,0,0,1,1,0.014,0,5,0.511,0,2,0.025,0,4,0.374,0,4,0.177,0,4,0.125,4,0.425,home,2,0,W,Leicester,Southampton,2025-05-03 14:00:00,EPL
26952,1257,Alisson,Liverpool,15,6,2,4,66.66666666666666,2.201,2.201,0.201,0.201,0,0,0,0,1,0.488,1,10,1.527,1,4,0.185,0,13,1.835,2,2,0.365,0,13,1.385,2,0.815,home,2,2,D,Liverpool,Arsenal,2025-05-11 15:30:00,EPL
26952,9676,David Raya,Arsenal,14,5,2,3,60.0,2.747,2.747,0.747,0.747,0,0,0,0,2,1.292,2,8,1.33,0,4,0.124,0,12,2.623,2,2,0.124,0,12,2.2,2,0.547,away,2,2,D,Liverpool,Arsenal,2025-05-11 15:30:00,EPL
26953,181,Bernd Leno,Fulham,11,7,3,4,57.14285714285714,1.326,1.326,-1.674,-1.674,0,0,0,0,2,0.618,1,7,0.627,0,2,0.08,2,7,0.64,2,4,0.686,1,7,0.64,4,0.686,home,1,3,L,Fulham,Everton,2025-05-10 14:00:00,EPL
26953,741,Jordan Pickford,Everton,18,6,1,5,83.33333333333334,1.209,1.209,0.209,0.209,0,0,0,0,1,0.568,1,10,0.456,0,7,0.185,0,17,1.196,1,1,0.013,0,14,0.546,4,0.663,away,3,1,W,Fulham,Everton,2025-05-10 14:00:00,EPL
26954,1038,Alex Palmer,Ipswich,15,5,1,4,80.0,1.337,1.337,0.337,0.337,0,0,0,0,2,0.389,1,9,0.822,0,4,0.126,0,14,1.012,0,1,0.325,1,12,0.811,3,0.526,home,0,1,L,Ipswich,Brentford,2025-05-10 14:00:00,EPL
26954,7047,Mark Flekken,Brentford,11,4,0,4,100.0,0.717,0.717,0.717,0.717,0,0,0,1,0,0.0,0,5,0.571,0,6,0.146,0,10,0.648,0,1,0.069,0,9,0.627,2,0.09,away,1,0,W,Ipswich,Brentford,2025-05-10 14:00:00,EPL
26955,4401,Emiliano Martinez,Aston Villa,10,4,0,4,100.0,1.22,1.22,1.22,1.22,0,0,0,1,2,0.969,0,6,0.223,0,2,0.027,0,7,1.146,0,3,0.074,0,5,0.382,5,0.838,away,1,0,W,Bournemouth,Aston Villa,2025-05-10 16:30:00,EPL
26955,5061,Kepa,Bournemouth,6,4,1,2,50.0,1.13,1.13,0.13,0.13,0,0,0,0,1,0.545,1,3,0.468,0,2,0.117,0,6,1.13,1,0,0.0,0,4,0.764,2,0.366,home,0,1,L,Bournemouth,Aston Villa,2025-05-10 16:30:00,EPL
26956,2310,Alphonse Areola,West Ham,20,5,0,5,100.0,2.316,2.316,2.316,2.316,0,0,0,1,3,1.007,0,8,1.073,0,9,0.235,0,12,0.739,0,8,1.577,0,15,1.601,5,0.715,away,2,0,W,Manchester United,West Ham,2025-05-11 13:15:00,EPL
26956,12054,Altay Bayindir,Manchester United,9,4,2,2,50.0,2.213,2.213,0.213,0.213,0,0,0,0,2,1.0,1,6,1.186,1,1,0.027,0,7,2.005,2,2,0.208,0,7,2.005,2,0.208,home,0,2,L,Manchester United,West Ham,2025-05-11 13:15:00,EPL
26957,5552,Nick Pope,Newcastle United,10,3,0,3,100.0,0.648,0.648,0.648,0.648,0,0,0,1,0,0.0,0,6,0.536,0,4,0.112,0,8,0.583,0,2,0.065,0,8,0.398,2,0.25,home,2,0,W,Newcastle United,Chelsea,2025-05-11 11:00:00,EPL
26957,9098,Robert Sánchez,Chelsea,15,6,2,4,66.66666666666666,1.67,1.67,-0.33,-0.33,0,0,0,0,3,0.898,1,11,0.752,0,1,0.021,1,9,1.336,1,6,0.334,1,13,1.597,2,0.073,away,0,2,L,Newcastle United,Chelsea,2025-05-11 11:00:00,EPL
26958,6903,Matz Sels,Nottingham Forest,10,6,2,4,66.66666666666666,1.255,1.255,-0.745,-0.745,0,0,0,0,3,0.678,1,4,0.395,1,3,0.182,0,7,1.142,2,3,0.113,0,5,0.533,5,0.721,home,2,2,D,Nottingham Forest,Leicester,2025-05-11 13:15:00,EPL
26958,13301,Jakub Stolarczyk,Leicester,15,4,2,2,50.0,1.796,1.796,-0.204,-0.204,0,0,0,0,2,0.661,1,7,0.966,1,6,0.17,0,11,1.197,1,4,0.599,1,9,0.343,6,1.453,away,2,2,D,Nottingham Forest,Leicester,2025-05-11 13:15:00,EPL
26959,5603,Aaron Ramsdale,Southampton,26,5,0,4,80.0,1.601,1.601,1.601,1.601,0,0,0,1,1,0.075,0,13,1.092,0,12,0.434,0,18,0.977,0,8,0.624,0,21,1.271,5,0.33,home,0,0,D,Southampton,Manchester City,2025-05-10 14:00:00,EPL
26959,6054,Ederson,Manchester City,2,0,0,0,,0.137,0.137,0.137,0.137,0,0,0,1,0,0.0,0,2,0.137,0,0,0.0,0,2,0.137,0,0,0.0,0,2,0.137,0,0.0,away,0,0,D,Southampton,Manchester City,2025-05-10 14:00:00,EPL
26960,7702,Dean Henderson,Crystal Palace,8,1,0,1,100.0,0.807,0.807,0.807,0.807,0,0,0,1,1,0.469,0,6,0.303,0,1,0.035,0,5,0.74,0,3,0.067,0,5,0.305,3,0.502,away,2,0,W,Tottenham,Crystal Palace,2025-05-11 13:15:00,EPL
26960,13348,Antonín Kinsky,Tottenham,23,10,2,7,70.0,3.985,3.985,1.985,1.985,0,0,0,0,6,1.667,0,11,2.183,2,6,0.136,0,15,2.921,2,8,1.064,0,17,2.743,6,1.243,home,0,2,L,Tottenham,Crystal Palace,2025-05-11 13:15:00,EPL
26961,9740,José Sá,Wolverhampton Wanderers,7,2,2,0,0.0,1.413,0.651,-0.587,-0.349,1,1,0,0,0,0.0,0,3,1.219,2,4,0.194,0,6,0.651,1,0,0.0,0,6,1.39,1,0.023,home,0,2,L,Wolverhampton Wanderers,Brighton,2025-05-10 14:00:00,EPL
