team,league,n_players,total_team_minutes,team_avg_xG_p90,team_avg_xA_p90,team_avg_shots_p90,team_avg_key_passes_p90,team_avg_xGChain_p90,team_avg_xGBuildup_p90,team_win_rate,team_draw_rate,xG_herfindahl,xA_herfindahl,home_away_xG_multiplier,vs_top_win_rate,xG_contributors_5pct,team_buildup_ratio,primary_gk_id,primary_gk_name,gk_matches,gk_save_pct,gk_goals_prevented,gk_xGA,gk_goals_conceded,gk_clean_sheets,gk_clean_sheet_pct,gk_adversity_index,gk_ha_save_delta,gk_consistency_cv,gk_best_zone,gk_loss_resilience,gk_depth,total_gk_matches,gk_goals_prevented_per90
"Augsburg,Hoffenheim",Bundesliga,1,353,0.3679,0.3144,3.5694,0.7649,0.686,0.156,0.3846,0.2308,1.0,1.0,0.0,0.0,1,0.2274,6596.0,Finn Dahmen,19.0,71.4,14.423,31.423,17.0,9.0,47.4,0.507,-1.3,1.257,six_yard,55.3,2.0,34.0,0.759
"Augsburg,Wolfsburg",Bundesliga,1,1769,0.0565,0.0815,0.6105,0.407,0.2307,0.1676,0.5,0.2727,1.0,1.0,0.0,0.25,1,0.7264,6596.0,Finn Dahmen,19.0,71.4,14.423,31.423,17.0,9.0,47.4,0.507,-1.3,1.257,six_yard,55.3,2.0,34.0,0.759
Auxerre,Ligue 1,29,33499,0.1155,0.0885,1.0209,0.7926,0.3331,0.2048,0.3235,0.2647,0.116,0.1267,1.1723,0.3,7,0.615,,,,,,,,,,,,,,,,,
Barcelona,La Liga,28,37610,0.2406,0.1762,1.62,1.1941,0.8533,0.5554,0.7368,0.1053,0.1551,0.104,1.2929,0.6667,5,0.6508,,,,,,,,,,,,,,,,,
Bayer Leverkusen,Bundesliga,22,33623,0.1699,0.1198,1.3303,1.0145,0.4689,0.3031,0.4762,0.3333,0.1151,0.113,1.2409,0.5,6,0.6465,281.0,Lukas Hradecky,29.0,66.4,3.24,38.24,35.0,6.0,20.7,0.651,-12.8,7.521,pen_area,50.0,2.0,34.0,0.112
Bayern Munich,Bundesliga,26,33362,0.2556,0.1934,1.7184,1.3839,0.9176,0.6308,0.7143,0.2,0.1239,0.1028,1.4476,0.375,5,0.6874,217.0,Manuel Neuer,22.0,58.8,1.2960000000000005,16.296,15.0,13.0,59.1,0.466,36.9,15.533,pen_area,,3.0,33.0,0.059
"Bayern Munich,Mainz 05",Bundesliga,1,22,0.8356,0.0,8.1818,0.0,0.8356,0.0,0.8,0.0,1.0,0.0,0.0,0.0,1,0.0,217.0,Manuel Neuer,22.0,58.8,1.2960000000000005,16.296,15.0,13.0,59.1,0.466,36.9,15.533,pen_area,,3.0,33.0,0.059
Bochum,Bundesliga,27,32609,0.1248,0.0873,1.1481,0.8004,0.3129,0.1552,0.1515,0.2121,0.0935,0.087,1.3,0.2,7,0.496,4306.0,Patrick Drewes,20.0,50.5,4.629,48.629,44.0,2.0,10.0,-0.111,-4.9,5.491,pen_area,48.8,2.0,33.0,0.231
Bologna,Serie A,25,34751,0.145,0.0988,1.2742,0.9039,0.3743,0.2147,0.4211,0.3684,0.1093,0.0874,1.8847,0.25,6,0.5737,,,,,,,,,,,,,,,,,
"Bologna,Lazio",Serie A,1,1036,0.0239,0.0374,0.4344,0.2606,0.2074,0.1765,0.2941,0.2941,1.0,1.0,0.0,0.0,1,0.8509,,,,,,,,,,,,,,,,,
"Bologna,Lecce",Serie A,1,802,0.2636,0.0905,1.7955,1.3466,0.29,0.1132,0.4,0.3,1.0,1.0,0.0,0.0,1,0.3904,,,,,,,,,,,,,,,,,
"Bologna,Monza",Serie A,1,737,0.0847,0.1035,1.0991,1.5875,0.2642,0.1054,0.2667,0.2667,1.0,1.0,0.0,0.0,1,0.3989,,,,,,,,,,,,,,,,,
Borussia Dortmund,Bundesliga,26,32526,0.1835,0.1494,1.2673,1.0044,0.6222,0.3887,0.5,0.1765,0.183,0.0924,1.2305,0.25,5,0.6248,5288.0,Gregor Kobel,32.0,61.9,-0.3180000000000004,45.682,46.0,7.0,21.9,0.429,-1.6,94.162,six_yard,50.0,2.0,34.0,-0.01
"Borussia Dortmund,Wolfsburg",Bundesliga,1,697,0.0366,0.1235,0.7747,1.2912,0.5125,0.4777,0.5909,0.1364,1.0,1.0,0.0,0.2857,1,0.932,5288.0,Gregor Kobel,32.0,61.9,-0.3180000000000004,45.682,46.0,7.0,21.9,0.429,-1.6,94.162,six_yard,50.0,2.0,34.0,-0.01
Borussia M.Gladbach,Bundesliga,26,33617,0.1458,0.1082,1.1164,0.8139,0.4305,0.2637,0.3824,0.1765,0.1327,0.0975,1.2543,0.1,6,0.6124,6321.0,Moritz Nicolas,19.0,71.9,12.527,36.527,24.0,4.0,21.1,0.994,15.3,1.821,six_yard,54.1,3.0,34.0,0.659
Bournemouth,Premier League,29,37825,0.1814,0.1226,1.3919,1.0422,0.4658,0.2516,0.3462,0.2692,0.1211,0.0828,0.9733,0.3333,5,0.5402,,,,,,,,,,,,,,,,,
