entity,entity_type,cell_x,cell_y,xT
Arsenal,team,12,9,0.102642
Arsenal,team,12,10,0.06908
Arsenal,team,12,11,0.0
Arsenal,team,13,0,0.0
Arsenal,team,13,1,0.0
Arsenal,team,13,2,0.04225
Arsenal,team,13,3,0.064415
Arsenal,team,13,4,0.120313
Arsenal,team,13,5,0.140405
Arsenal,team,13,6,0.176822
Arsenal,team,13,7,0.12129
Arsenal,team,13,8,0.109957
Arsenal,team,13,9,0.06908
Arsenal,team,13,10,0.0
Arsenal,team,13,11,0.0
Arsenal,team,14,0,0.0
Arsenal,team,14,1,0.0
Arsenal,team,14,2,0.083333
Arsenal,team,14,3,0.008226
Arsenal,team,14,4,0.103239
Arsenal,team,14,5,0.244417
Arsenal,team,14,6,0.226602
Arsenal,team,14,7,0.182066
Arsenal,team,14,8,0.063333
Arsenal,team,14,9,0.1
Arsenal,team,14,10,0.0
Arsenal,team,14,11,0.0
Arsenal,team,15,0,0.0
Arsenal,team,15,1,0.0
Arsenal,team,15,2,0.0
Arsenal,team,15,3,0.166667
Arsenal,team,15,4,0.0
Arsenal,team,15,5,0.189189
Arsenal,team,15,6,0.375
Arsenal,team,15,7,0.2
Arsenal,team,15,8,0.0
Arsenal,team,15,9,0.0
Arsenal,team,15,10,0.0
Arsenal,team,15,11,0.0
Aston Villa,team,0,0,0.0
Aston Villa,team,0,1,0.0
Aston Villa,team,0,2,0.0
Aston Villa,team,0,3,0.0
Aston Villa,team,0,4,0.0
Aston Villa,team,0,5,0.0
Aston Villa,team,0,6,0.0
Aston Villa,team,0,7,0.0
Aston Villa,team,0,8,0.0
Aston Villa,team,0,9,0.0
Aston Villa,team,0,10,0.0
Aston Villa,team,0,11,0.0
Aston Villa,team,1,0,0.0
Aston Villa,team,1,1,0.0
Aston Villa,team,1,2,0.0
Aston Villa,team,1,3,0.0
Aston Villa,team,1,4,0.0
Aston Villa,team,1,5,0.0
Aston Villa,team,1,6,0.0
Aston Villa,team,1,7,0.0
Aston Villa,team,1,8,0.0
Aston Villa,team,1,9,0.0
Aston Villa,team,1,10,0.0
Aston Villa,team,1,11,0.0
Aston Villa,team,2,0,0.0
Aston Villa,team,2,1,0.0
Aston Villa,team,2,2,0.0
Aston Villa,team,2,3,0.0
Aston Villa,team,2,4,0.0
Aston Villa,team,2,5,0.0
Aston Villa,team,2,6,0.0
Aston Villa,team,2,7,0.0
Aston Villa,team,2,8,0.0
Aston Villa,team,2,9,0.0
Aston Villa,team,2,10,0.0
Aston Villa,team,2,11,0.0
Aston Villa,team,3,0,0.0
Aston Villa,team,3,1,0.0
Aston Villa,team,3,2,0.0
Aston Villa,team,3,3,0.0
Aston Villa,team,3,4,0.0
Aston Villa,team,3,5,0.0
Aston Villa,team,3,6,0.0
Aston Villa,team,3,7,0.0
Aston Villa,team,3,8,0.0
Aston Villa,team,3,9,0.0
Aston Villa,team,3,10,0.0
Aston Villa,team,3,11,0.0
Aston Villa,team,4,0,0.0
Aston Villa,team,4,1,0.0
Aston Villa,team,4,2,0.0
Aston Villa,team,4,3,0.0
Aston Villa,team,4,4,0.0
Aston Villa,team,4,5,0.0
Aston Villa,team,4,6,0.0
Aston Villa,team,4,7,0.0
Aston Villa,team,4,8,0.0
Aston Villa,team,4,9,0.0
Aston Villa,team,4,10,0.0
Aston Villa,team,4,11,0.0
Aston Villa,team,5,0,0.0
Aston Villa,team,5,1,0.0
Aston Villa,team,5,2,0.0
Aston Villa,team,5,3,0.0
Aston Villa,team,5,4,0.0
Aston Villa,team,5,5,0.0
Aston Villa,team,5,6,0.0
Aston Villa,team,5,7,0.0
Aston Villa,team,5,8,0.0
Aston Villa,team,5,9,0.0
Aston Villa,team,5,10,0.0
Aston Villa,team,5,11,0.0
Aston Villa,team,6,0,0.0
Aston Villa,team,6,1,0.0
Aston Villa,team,6,2,0.0
Aston Villa,team,6,3,0.0
Aston Villa,team,6,4,0.0
Aston Villa,team,6,5,0.0
Aston Villa,team,6,6,0.0
Aston Villa,team,6,7,0.0
Aston Villa,team,6,8,0.0
Aston Villa,team,6,9,0.0
Aston Villa,team,6,10,0.0
Aston Villa,team,6,11,0.0
Aston Villa,team,7,0,0.0
Aston Villa,team,7,1,0.0
Aston Villa,team,7,2,0.0
Aston Villa,team,7,3,0.0
Aston Villa,team,7,4,0.0
Aston Villa,team,7,5,0.0
Aston Villa,team,7,6,0.024199
Aston Villa,team,7,7,0.0
Aston Villa,team,7,8,0.0
Aston Villa,team,7,9,0.0
Aston Villa,team,7,10,0.0
Aston Villa,team,7,11,0.0
Aston Villa,team,8,0,0.0
Aston Villa,team,8,1,0.0
Aston Villa,team,8,2,0.0
Aston Villa,team,8,3,0.0
Aston Villa,team,8,4,0.0
Aston Villa,team,8,5,0.0
Aston Villa,team,8,6,0.0
Aston Villa,team,8,7,0.0
Aston Villa,team,8,8,0.0
Aston Villa,team,8,9,0.0
Aston Villa,team,8,10,0.0
Aston Villa,team,8,11,0.0
Aston Villa,team,9,0,0.0
Aston Villa,team,9,1,0.0
Aston Villa,team,9,2,0.0
Aston Villa,team,9,3,0.041325
Aston Villa,team,9,4,0.047727
Aston Villa,team,9,5,0.057062
Aston Villa,team,9,6,0.0
Aston Villa,team,9,7,0.06518
Aston Villa,team,9,8,0.039096
Aston Villa,team,9,9,0.055036
Aston Villa,team,9,10,0.0
Aston Villa,team,9,11,0.0
